"Table S1 Complete dataset used from train and validated machine learning methods, which are collected from literature data. ",,,,,,,,,,,,,,,,
Citation,Sample Name,Tectonic Setting,,Latitude ,Longitude ,Rock Name,Rock Type,P,Ti,Y,Nb,Dy,Yb,U,Hf,Th
[17292] PAMUKCU A. S. (2013),samp. PSTG01C,Rift Volcanics,Plate Tectonic,35.03,-114.47,Trachyte,Intermediate,232,28.2,695,3.88,79.1,185,52.2,8690,78.1
[17292] PAMUKCU A. S. (2013),samp. PSTG01C,Rift Volcanics,Plate Tectonic,35.03,-114.47,Trachyte,Intermediate,237,34.2,467,1.78,55.8,125,18.2,8100,35.8
[17292] PAMUKCU A. S. (2013),samp. CRW,Rift Volcanics,Plate Tectonic,34.82,-111.79,Trachyte,Intermediate,345,19.1,1510,9.3,169,401,234,10000,356
[17292] PAMUKCU A. S. (2013),samp. CRW,Rift Volcanics,Plate Tectonic,34.82,-111.79,Trachyte,Intermediate,329,29,1060,6.15,130,256,70,8510,159
[17292] PAMUKCU A. S. (2013),samp. CRW,Rift Volcanics,Plate Tectonic,34.82,-111.79,Trachyte,Intermediate,266,29.7,1060,4.69,120,282,95,8840,170
[17449] STELTEN M. E. (2013),samp. GRF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,159.8455975,9.141436909,782.8285395,9.381596275,87.02732059,228.8711389,72.62671198,9923,35.60913659
[17449] STELTEN M. E. (2013),samp. GRF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,272.3006049,10.53802975,948.7324708,16.39390229,107.3954649,269.4984178,132.0137,9793,72.01223371
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,233,11.3,975,13,107,267,123,10569,65
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,215.1,13.66722637,740.6366446,9.570587565,82.61559546,202.9721574,63.61,8384,33.98
[17449] STELTEN M. E. (2013),samp. SPF,Continental Flood Basalt,Plume,44,-111,Rhyolite,Felsic,203.55,13.28426398,1375.6361,10.64429181,165.6529616,340.9445559,91.12,8100,59.73
